Parcel_ID,State,Land_Use_Type,Area_Hectares,Carbon_Tons_per_Ha,Carbon_Value_INR,Flood_Mitigation_Value_INR,Water_Filtration_Value_INR,Pollination_Value_INR,Biodiversity_Index,Biodiversity_Value_INR,Total_Ecosystem_Value_INR,Development_Profit_INR,Discount_Rate,Time_Horizon_Years,NPV_Environment_INR,NPV_Development_INR,Environmental_ROI,Financial_ROI
1145,West Bengal,Industrial,71.72,129.06,37024732.8,661803.29,261043.96,673724.16,0.65,932360.0,39553664.21,15410656.74,0.066,30,32652400.01,12721828.39,1.1188,-0.6784
1146,Karnataka,Wetland,454.95,163.1,296809380.0,11023095.8,3089707.44,4385766.65,0.82,7461180.0,322769129.89,119873463.31,0.045,40,270661715.23,100521252.45,1.2579,-0.6886
1147,Maharashtra,Agriculture,139.13,78.55,43714646.0,1637940.01,1825428.19,179055.18,0.26,723476.0,48080545.38,16483943.99,0.048,40,39858803.22,13665200.23,1.418,-0.7158
1148,Karnataka,Industrial,119.77,201.51,96539410.8,2284991.8,248524.98,582549.89,0.51,1221654.0,100877131.47,9400306.23,0.091,30,77681655.51,7238819.54,7.2637,-0.9282
1149,Gujarat,Urban,352.54,183.01,258073381.6,8183078.68,705322.11,3379197.16,0.81,5711148.0,276052127.55,97299426.83,0.031,40,244318547.33,86114368.43,1.511,-0.6881
1150,Maharashtra,Urban,467.26,204.35,381938324.0,12116275.42,1501183.02,3574072.8,0.92,8597584.0,407727439.24,102627507.69,0.081,30,322769773.69,81243140.01,2.1451,-0.8007
1151,Gujarat,Urban,473.09,116.3,220081468.0,9453444.83,3875741.48,4444971.97,0.26,2460068.0,240315694.28,82923179.82,0.092,10,220069317.11,75936977.86,1.6539,-0.684
1152,Uttar Pradesh,Agriculture,396.99,149.92,238066963.2,11005731.38,5655475.4,626796.8,0.5,3969900.0,259324866.78,22177749.26,0.06,30,217734158.72,18620865.93,8.8177,-0.9282
1153,Tamil Nadu,Grassland,270.75,228.59,247562970.0,7083864.57,990267.16,497441.77,0.64,3465600.0,259600143.5,49555235.26,0.054,10,246299946.39,47016352.24,3.9702,-0.8189
1154,Karnataka,Agriculture,450.23,232.57,418839964.4,6782843.7,6111391.96,2006017.8,0.75,6753450.0,440493667.86,76082366.15,0.041,20,406479091.04,70207345.29,4.3426,-0.8406
1155,Gujarat,Agriculture,464.33,118.98,220983933.6,10847759.19,3145027.62,543232.63,0.28,2600248.0,238120201.04,80818897.73,0.092,50,153349741.67,52047482.89,0.8974,-0.7814
1156,Karnataka,Forest,170.69,176.92,120793899.2,3834702.72,1903392.66,927307.0,0.89,3038282.0,130497583.58,29409738.41,0.071,10,121846483.27,27460073.21,3.1431,-0.7896
1157,Assam,Solar Farm,103.69,83.84,34773478.4,628191.59,1061366.57,335626.04,0.43,891734.0,37690396.6,25165939.44,0.059,30,31735316.0,21189722.38,0.261,-0.4378
1158,Odisha,Solar Farm,124.89,50.57,25262749.2,3043751.65,460367.19,634913.76,0.58,1448724.0,30850505.8,27706531.55,0.087,20,26109779.29,23448932.35,-0.0576,-0.2399
1159,Maharashtra,Agriculture,406.31,20.74,33707477.6,5042720.77,2292296.82,940263.16,0.42,3413004.0,45395762.35,51780686.2,0.077,30,36338601.04,41449633.18,-0.2982,-0.0869
1160,Odisha,Urban,333.53,101.46,135359815.2,7666772.66,2124635.93,1204894.83,0.61,4069066.0,150425184.62,18654029.41,0.037,10,145058037.24,17988456.52,6.7762,-0.8804
1161,Tamil Nadu,Solar Farm,211.89,236.3,200278428.0,4881478.28,666530.8,1825826.91,0.75,3178350.0,210830613.99,42957864.83,0.104,30,156684650.55,31925335.28,2.6474,-0.8486
1162,West Bengal,Agriculture,205.03,63.16,51798779.2,3649653.89,1872937.33,1198387.5,0.62,2542372.0,61062129.92,58879742.35,0.111,30,44527649.67,42936211.75,-0.2438,-0.2968
1163,Assam,Barren Land,438.48,202.34,354888172.8,12534258.91,1438403.1,1484741.23,0.57,4998672.0,375344248.04,114721111.14,0.075,10,349157440.04,106717312.69,2.0435,-0.7157
1164,Odisha,Wetland,375.28,43.35,65073552.0,4244546.39,4320632.13,931672.41,0.46,3452576.0,78022978.93,43613752.31,0.061,50,58029069.71,32437437.12,0.3305,-0.5843
1165,Tamil Nadu,Industrial,355.62,98.28,139801334.4,6714668.57,1173231.06,2932143.53,0.48,3413952.0,154035329.56,75438929.41,0.095,10,140671533.84,68893999.46,0.8647,-0.5527
1166,Odisha,Wetland,108.78,222.32,96735878.4,2219721.85,823837.37,287289.79,0.91,1979796.0,102046523.41,25973079.81,0.049,40,84274514.78,21449713.57,2.2447,-0.7898
1167,West Bengal,Industrial,172.17,204.32,140711097.6,3855220.58,2058326.06,855824.34,0.74,2548116.0,150028584.58,25244156.07,0.049,20,136339920.25,22940869.8,4.4009,-0.8471
1168,Uttar Pradesh,Industrial,318.18,244.24,310849132.8,4061575.43,2543086.96,2248263.81,0.61,3881796.0,323583855.0,82999464.01,0.099,10,294434808.92,75522715.2,2.5474,-0.7666
1169,Gujarat,Industrial,33.86,249.62,33808532.8,806208.68,447992.96,232305.99,0.84,568848.0,35863888.43,2644321.88,0.061,10,33801968.36,2492292.06,11.7828,-0.9305
1170,Gujarat,Agriculture,438.83,58.4,102510688.0,3052524.5,5373713.05,3738557.51,0.32,2808512.0,117483995.06,115669661.91,0.092,50,75659856.72,74491423.64,-0.3459,-0.3659
1171,Uttar Pradesh,Grassland,262.44,209.26,219672777.6,4062894.32,1186733.06,935250.63,0.58,3044304.0,228901959.61,47982613.31,0.103,40,154649122.78,32417673.79,2.223,-0.8584
1172,Gujarat,Agriculture,396.72,149.53,237286166.4,9727430.42,1782484.76,575474.39,0.86,6823584.0,256195139.97,27329494.69,0.052,20,231493823.07,24694493.46,7.4705,-0.9036
1173,Odisha,Wetland,349.18,108.27,151222874.4,9395682.8,2050991.6,386487.13,0.43,3002948.0,166058983.93,67922061.42,0.064,50,121773905.96,49808414.6,0.7928,-0.7001
1174,Gujarat,Forest,269.76,220.38,237798835.2,7502599.21,1472259.13,1391763.13,0.61,3291072.0,251456528.67,77496144.09,0.12,40,159805169.9,49250200.58,1.0621,-0.8041
1175,Maharashtra,Agriculture,121.53,184.48,89679417.6,1756202.87,255870.06,131650.13,0.55,1336830.0,93159970.66,20913335.49,0.032,10,90271289.4,20264859.97,3.3164,-0.7825
1176,Maharashtra,Barren Land,345.03,80.56,111182467.2,6554647.92,2039799.4,864027.17,0.51,3519306.0,124160247.69,37286819.76,0.078,50,85288164.12,25613064.26,1.2874,-0.7937
1177,Gujarat,Urban,103.42,132.02,54614033.6,924002.15,1108938.66,805170.12,0.28,579152.0,58031296.53,17266031.36,0.036,10,56014764.99,16666053.44,2.2442,-0.7128
1178,West Bengal,Barren Land,301.1,73.46,88475224.0,5477193.1,2627697.63,2806007.84,0.61,3673420.0,103059542.57,58940210.56,0.066,30,85077867.65,48656410.74,0.4435,-0.5279
1179,West Bengal,Solar Farm,474.79,196.52,373222923.2,5761639.44,6160269.5,2322467.21,0.82,7786556.0,395253855.35,121414256.49,0.047,40,328919323.28,101037585.19,1.7091,-0.7444
1180,Assam,Agriculture,352.06,79.75,112307140.0,4378681.73,2060439.95,2651052.02,0.37,2605244.0,124002557.7,17682727.09,0.094,40,86568791.56,12344683.4,3.8957,-0.9004
1181,Maharashtra,Agriculture,89.74,35.08,12592316.8,981567.42,622679.55,474110.5,0.23,412804.0,15083478.27,26261812.72,0.094,10,13787457.29,24005313.27,-0.475,0.5915
1182,Karnataka,Urban,164.98,86.49,57076480.8,2674913.74,1673092.32,382317.66,0.34,1121864.0,62928668.52,43696379.37,0.053,20,56753389.01,39408391.68,0.2988,-0.3738
1183,Maharashtra,Agriculture,193.2,219.11,169328208.0,4169004.02,1244643.56,1382016.77,0.21,811440.0,176935312.35,45191540.48,0.074,20,153393145.89,39178570.23,2.3943,-0.7786
1184,Assam,Barren Land,407.53,239.11,389777993.2,11469815.19,5632246.18,2286051.6,0.47,3830782.0,412996888.17,67755461.47,0.092,30,317160332.34,52032703.62,3.681,-0.874
1185,Karnataka,Urban,442.58,59.68,105652697.6,12372248.2,5575332.07,4341578.86,0.86,7612376.0,135554232.73,53102665.84,0.04,10,130340608.39,51060255.62,1.4545,-0.6233
1186,Gujarat,Industrial,60.56,79.89,19352553.6,1232674.16,754345.31,550687.39,0.67,811504.0,22701764.46,3113258.08,0.047,10,21682678.57,2973503.42,5.9646,-0.869
1187,Uttar Pradesh,Industrial,54.36,97.2,21135168.0,953136.0,139387.92,224849.36,0.33,358776.0,22811317.28,11511683.56,0.072,10,21279213.88,10738510.78,0.8485,-0.5292
1188,West Bengal,Grassland,250.18,112.65,112731108.0,7230325.28,1198751.64,1413511.58,0.75,3752700.0,126326396.5,47336833.82,0.114,50,73632263.94,27591369.17,0.5555,-0.7816
1189,Odisha,Solar Farm,192.09,121.28,93186700.8,1385556.29,1904954.31,690353.73,0.32,1229376.0,98396941.13,35754254.01,0.078,30,78546224.61,28541148.07,1.1968,-0.7099
1190,Gujarat,Forest,42.56,177.57,30229516.8,876493.61,189699.48,222372.33,0.74,629888.0,32147970.22,7761196.28,0.066,40,24895722.74,6010351.18,2.2077,-0.813
1191,Odisha,Barren Land,164.56,156.49,103007977.6,4686293.18,1766170.3,275261.67,0.55,1810160.0,111545862.75,44876504.77,0.039,10,107358866.94,43192016.14,1.3923,-0.6128
1192,Maharashtra,Grassland,494.49,237.78,470319328.8,3440098.7,6989306.19,2110578.91,0.83,8208534.0,491067846.6,76446094.17,0.07,20,428917675.43,66770979.27,4.6107,-0.864
1193,Uttar Pradesh,Solar Farm,318.95,195.87,249890946.0,1864176.24,3097332.36,854976.4,0.46,2934340.0,258641771.0,43693651.52,0.072,10,241270308.77,40759003.28,4.5219,-0.8424
1194,Maharashtra,Solar Farm,170.4,35.77,24380832.0,1472378.43,414871.83,891574.0,0.92,3135360.0,30295016.26,13447764.53,0.115,50,17579108.76,7803254.28,0.3072,-0.7424
1195,Tamil Nadu,Wetland,368.01,163.0,239942520.0,7776766.67,4691192.54,722138.21,0.58,4268916.0,257401533.42,82534627.45,0.083,10,237674546.09,76209258.96,1.8797,-0.7039
1196,Uttar Pradesh,Industrial,417.23,27.35,45644962.0,9290679.87,3731021.07,1841005.59,0.46,3838516.0,64346184.53,85618999.84,0.11,40,42386824.82,56399887.17,-0.5049,-0.1235
1197,Tamil Nadu,Industrial,250.61,207.93,208437349.2,3772660.27,834813.99,389335.57,0.24,1202928.0,214637087.03,36347856.77,0.06,50,160389317.48,27161233.04,3.4126,-0.8735
1198,Tamil Nadu,Industrial,360.38,188.28,271409385.6,2260068.83,1756709.22,1249926.37,0.61,4396636.0,281072726.02,31039099.1,0.042,40,238422825.22,26329234.45,6.6814,-0.9063
1199,Maharashtra,Wetland,472.18,203.01,383429047.2,4493440.79,3440011.44,1983438.36,0.79,7460444.0,400806381.79,83837083.73,0.042,20,369146869.66,77214830.97,3.4031,-0.8074
1200,Gujarat,Barren Land,370.8,105.25,156106800.0,4291307.78,2551653.56,2031913.2,0.46,3411360.0,168393034.54,40964665.12,0.066,50,122331443.33,29759346.18,1.9863,-0.8233
1201,Odisha,Solar Farm,14.49,195.4,11325384.0,134374.79,37250.31,99738.85,0.78,226044.0,11822791.95,3672596.03,0.074,50,8273678.49,2570110.25,1.2528,-0.7826
1202,Tamil Nadu,Industrial,106.66,186.93,79751815.2,2399084.92,554794.07,973877.24,0.28,597296.0,84276867.43,31536381.91,0.107,50,50695601.48,18970280.91,0.6075,-0.7749
1203,Karnataka,Solar Farm,345.51,235.3,325194012.0,7966693.29,1546482.36,1720434.31,0.25,1727550.0,338155171.96,50933133.99,0.097,30,256151056.5,38581625.14,4.0292,-0.8859
1204,Maharashtra,Urban,196.29,89.27,70091233.2,3903009.37,2618245.35,280350.94,0.49,1923642.0,78816480.86,17579768.8,0.093,20,65974592.42,14715425.87,2.7529,-0.8133
1205,Tamil Nadu,Solar Farm,57.33,169.55,38881206.0,696818.73,262910.71,540459.83,0.21,240786.0,40622181.27,9140942.75,0.032,50,34702818.86,7808947.49,2.7964,-0.8078
1206,Karnataka,Solar Farm,244.38,130.25,127321980.0,3187096.87,908630.04,1072214.28,0.7,3421320.0,135911241.19,60019471.93,0.078,10,126077218.17,55676690.1,1.1006,-0.5903
1207,West Bengal,Urban,296.97,58.15,69075222.0,3618062.23,1218955.81,963269.16,0.37,2197578.0,77073087.2,53413676.52,0.081,10,71297953.01,49411356.63,0.3348,-0.3589
1208,Odisha,Wetland,472.75,56.94,107673540.0,9947554.8,5968171.15,2856437.37,0.39,3687450.0,130133153.32,54667655.31,0.034,20,121715777.04,51131598.49,1.2265,-0.6071
1209,Gujarat,Solar Farm,156.19,188.7,117892212.0,966494.96,757652.49,1148948.09,0.79,2467802.0,123233109.54,25588545.62,0.093,40,86346901.81,17929366.91,2.3744,-0.8545
1210,Uttar Pradesh,Grassland,197.04,48.38,38131180.8,2946484.41,1879679.17,1878279.77,0.25,985200.0,45820824.15,34846233.06,0.06,20,40780370.37,31013023.37,0.1703,-0.3232
1211,Tamil Nadu,Solar Farm,256.61,15.75,16166430.0,3291185.91,3248242.75,1535932.89,0.54,2771388.0,27013179.55,31147647.16,0.057,50,20473909.0,23607516.93,-0.3427,-0.1261
1212,Uttar Pradesh,Barren Land,194.64,210.54,163918022.4,5679659.46,1499218.48,883699.77,0.83,3231024.0,175211624.11,30505212.9,0.08,40,128785774.28,22422242.15,3.2218,-0.872
1213,Gujarat,Grassland,119.32,188.44,89938643.2,2183521.15,1493582.03,957733.26,0.36,859104.0,95432583.64,27313408.47,0.102,20,78583884.47,22491204.3,1.8771,-0.7643
1214,West Bengal,Solar Farm,176.32,51.43,36272550.4,893202.54,1386183.32,735588.45,0.62,2186368.0,41473892.71,17104851.36,0.107,30,30572569.24,12608877.98,0.7874,-0.696
1215,Assam,Barren Land,132.59,64.34,34123362.4,2256396.92,1125034.54,389253.35,0.4,1060720.0,38954767.21,12254804.41,0.095,40,27095934.68,8524126.92,1.211,-0.7812
1216,Maharashtra,Solar Farm,386.19,120.96,186854169.6,8825281.68,4467121.56,866795.63,0.92,7105896.0,208119264.47,98578081.91,0.048,30,180812493.1,85643915.76,0.8342,-0.5885
1217,Odisha,Urban,97.15,40.16,15606176.0,821836.93,1139190.94,507792.2,0.79,1534970.0,19609966.07,22982165.75,0.084,40,14202333.72,16644617.67,-0.382,-0.1512
1218,Uttar Pradesh,Urban,344.75,14.41,19871390.0,4410883.59,3548059.55,373745.05,0.22,1516900.0,29720978.19,90659595.49,0.092,40,20901263.75,63756317.32,-0.7695,1.1452
1219,Karnataka,Barren Land,136.36,175.11,95511998.4,3383284.79,816568.09,180586.51,0.9,2454480.0,102346917.79,18585180.69,0.04,10,98410497.88,17870366.05,4.2951,-0.8254
1220,Uttar Pradesh,Barren Land,248.47,194.43,193240088.4,2619167.71,1367422.51,791236.53,0.94,4671236.0,202689151.15,24685726.43,0.082,50,136676610.51,16645989.18,4.5367,-0.9179
1221,Gujarat,Agriculture,463.01,45.26,83823330.4,13552930.05,6629008.65,4149101.08,0.36,3333672.0,111488042.18,96543957.87,0.098,20,92474844.29,80079327.76,-0.0421,-0.2817
1222,Assam,Industrial,493.08,53.3,105124656.0,11908201.26,3157889.05,1272461.08,0.52,5128032.0,126591239.39,122510152.89,0.072,10,118088842.71,114281859.04,-0.0361,-0.0972
1223,West Bengal,Forest,271.07,248.84,269812235.2,4060013.95,2710756.87,1162130.71,0.49,2656486.0,280401622.73,60695334.76,0.114,50,163438575.51,35377680.62,1.6928,-0.8738
1224,Karnataka,Urban,273.47,194.42,212672149.6,1977232.94,1297630.05,1509331.46,0.22,1203268.0,218659612.05,30960562.76,0.077,50,150900283.86,21366349.58,3.874,-0.9023
1225,West Bengal,Agriculture,12.41,73.49,3648043.6,221528.06,117286.17,115807.21,0.68,168776.0,4271441.04,1907217.83,0.114,40,2773535.01,1238395.98,0.4542,-0.7101
1226,Tamil Nadu,Urban,393.52,58.0,91296640.0,3254827.15,4244330.13,2376447.01,0.79,6217616.0,107389860.29,92359640.83,0.086,40,77204742.07,66399213.37,-0.1641,-0.3817
1227,Maharashtra,Barren Land,493.26,138.06,272397902.4,3861063.64,6297724.84,1611322.71,0.78,7694856.0,291862869.59,142688661.54,0.093,10,267029157.9,130547723.28,0.8714,-0.5527
1228,Karnataka,Industrial,300.03,120.49,144602458.8,4233497.3,1976916.2,2018408.13,0.76,4560456.0,157391736.43,65895369.09,0.048,30,136740788.17,57249414.17,1.0751,-0.6363
1229,Tamil Nadu,Industrial,249.52,199.99,199606019.2,4215042.04,2239717.13,1981244.8,0.7,3493280.0,211535303.17,38010936.16,0.111,10,190400812.93,34213263.87,4.0091,-0.8383
1230,Assam,Barren Land,85.47,248.92,85100769.6,681308.25,187551.06,770099.24,0.38,649572.0,87389300.15,19865356.79,0.103,10,79228739.94,18010296.27,2.9883,-0.7939
1231,Uttar Pradesh,Urban,430.2,247.98,426723984.0,5313397.08,4832506.91,877005.17,0.51,4388040.0,442134933.16,112709355.62,0.063,10,415931263.56,106029497.29,2.6903,-0.7602
1232,Maharashtra,Industrial,297.59,130.91,155830027.6,6293667.9,4358987.34,446867.02,0.63,3749634.0,170679183.86,79086683.6,0.073,10,159067272.94,73706135.69,1.0113,-0.5682
1233,Assam,Barren Land,43.87,144.53,25362124.4,583552.04,176104.85,379094.3,0.59,517666.0,27018541.59,12429209.05,0.103,30,20134245.77,9262259.73,0.6199,-0.6572
1234,Karnataka,Barren Land,348.02,11.21,15605216.8,5462377.98,1589519.28,3200803.0,0.33,2296932.0,28154849.06,42289654.79,0.077,10,26141921.13,39266160.44,-0.3818,0.3947
1235,West Bengal,Agriculture,135.36,60.37,32686732.8,2704152.12,427207.5,206222.29,0.48,1299456.0,37323770.71,31155285.14,0.08,50,25401931.2,21203763.57,-0.1847,-0.4319
1236,Tamil Nadu,Urban,214.32,145.78,124974278.4,3029689.05,3036893.47,320224.95,0.71,3043344.0,134404429.87,58470925.18,0.102,40,91135421.16,39647297.32,0.5586,-0.705
1237,Assam,Industrial,96.1,81.02,31144088.0,2203207.67,297479.21,798279.18,0.74,1422280.0,35865334.06,22333799.75,0.039,50,29620824.47,18445264.19,0.3263,-0.4857
1238,Uttar Pradesh,Industrial,360.29,173.16,249551265.6,9285776.61,915405.89,435228.88,0.48,3458784.0,263646460.98,31416232.7,0.08,30,209291060.96,24939218.41,5.6619,-0.9054
1239,Uttar Pradesh,Wetland,459.09,103.96,190907985.6,11993156.72,919617.58,1155360.49,0.22,2019996.0,206996116.39,60616772.28,0.112,50,121741391.43,35650766.45,1.0084,-0.8278
1240,Maharashtra,Grassland,52.99,155.54,32968258.4,863069.25,752462.6,111420.6,0.36,381528.0,35076738.85,3040857.23,0.069,50,25126423.96,2178248.9,7.2629,-0.9379
1241,Odisha,Agriculture,142.53,218.78,124730853.6,2868205.35,1422902.59,824849.08,0.27,769662.0,130616472.62,22983628.25,0.12,10,116621850.55,20521096.65,4.0741,-0.8429
1242,Gujarat,Grassland,418.44,224.43,375641956.8,10703970.94,1397397.96,1275001.03,0.2,1673760.0,390692086.73,52672194.16,0.04,20,361216796.16,48698404.36,5.8578,-0.8754
1243,Assam,Forest,239.03,172.51,164940261.2,6420975.02,2806169.93,2258181.03,0.24,1147344.0,177572931.18,12679336.51,0.09,10,162910946.04,11632418.82,11.8485,-0.9345
1244,Tamil Nadu,Wetland,148.23,70.84,42002452.8,1967334.83,816354.31,830521.97,0.53,1571238.0,47187901.91,26400821.04,0.091,10,43251972.42,24198736.06,0.6383,-0.4872
1245,Maharashtra,Solar Farm,196.63,70.31,55300221.2,1800150.29,1286582.25,1509382.67,0.77,3028102.0,62924438.41,42614901.55,0.051,20,56965762.67,38579452.26,0.3368,-0.3869
1246,Assam,Solar Farm,296.1,146.97,174071268.0,5065280.53,2709234.11,1606672.86,0.62,3671640.0,187124095.5,67770328.29,0.04,40,159954461.08,57930360.65,1.3602,-0.6904
1247,West Bengal,Barren Land,376.06,42.61,64095666.4,2506703.13,5523958.85,3615036.92,0.25,1880300.0,77621665.3,60475472.3,0.047,10,74137216.14,57760718.53,0.2259,-0.2559
1248,Gujarat,Wetland,245.25,209.24,205264440.0,7054688.44,2512656.02,1026408.28,0.65,3188250.0,219046442.74,31392080.08,0.112,20,177144074.73,25386949.5,4.643,-0.8841
1249,Tamil Nadu,Agriculture,435.85,143.98,251014732.0,5718340.18,2534060.57,566937.1,0.81,7060770.0,266894839.85,70867380.85,0.059,10,252025344.52,66919150.94,2.5563,-0.7493
1250,West Bengal,Wetland,238.2,206.5,196753200.0,1933077.61,3132217.53,2162279.44,0.91,4335240.0,208316014.58,35580409.95,0.05,10,198396204.36,33886104.71,4.576,-0.8373
1251,Assam,Barren Land,189.95,89.9,68306020.0,1786260.89,1879453.95,1004762.83,0.85,3229150.0,76205647.67,11022303.7,0.088,10,70041955.58,10130793.84,5.3546,-0.8671
1252,Assam,Urban,382.66,192.28,294311459.2,10389926.61,4391956.68,3577982.18,0.45,3443940.0,316115264.67,67272528.85,0.031,40,279776225.37,59539213.37,3.1588,-0.8117
1253,Tamil Nadu,Solar Farm,8.44,67.63,2283188.8,63470.32,45430.39,21888.21,0.22,37136.0,2451113.72,2340631.75,0.031,30,2236595.59,2135782.86,-0.0444,-0.1286
1254,Tamil Nadu,Barren Land,369.36,46.52,68730508.8,10270328.33,5025640.41,2543084.35,0.7,5171040.0,91740601.89,18961016.37,0.119,40,58511500.97,12093200.88,2.0859,-0.8682
1255,Gujarat,Agriculture,439.53,224.83,395278119.6,9441593.78,2849134.58,3974598.52,0.42,3692052.0,415235498.48,83808651.16,0.039,10,399649180.44,80662801.89,3.7686,-0.8057
1256,West Bengal,Industrial,461.37,43.78,80795114.4,4900865.98,4270322.63,3634136.29,0.66,6090084.0,99690523.3,49843405.84,0.03,20,93967879.44,46982190.44,0.8853,-0.5287
1257,Assam,Industrial,379.79,246.45,374396982.0,9588872.6,3031744.33,3468965.91,0.51,3873858.0,394360422.84,68830678.96,0.073,30,319222987.51,55716379.48,3.6378,-0.8587
1258,Maharashtra,Solar Farm,226.57,196.05,177676194.0,4116600.78,1386001.78,752988.06,0.23,1042222.0,184974006.62,44362131.96,0.051,50,144243789.53,34593844.52,2.2515,-0.813
1259,Assam,Grassland,78.33,166.92,52299374.4,1725628.03,922571.81,433336.6,0.87,1362942.0,56743852.84,22252431.97,0.103,20,46640993.81,18290537.03,1.096,-0.6777
1260,Odisha,Barren Land,319.62,82.89,105973207.2,9452321.4,1778292.22,902578.85,0.53,3387972.0,121494371.67,20522845.8,0.118,30,86942224.67,14686292.43,3.2364,-0.8791
1261,Gujarat,Barren Land,296.27,143.67,170260443.6,6338669.1,2506831.55,381765.12,0.66,3910764.0,183398473.37,67858708.63,0.068,30,150550415.4,55704699.09,1.2186,-0.6963
1262,Maharashtra,Grassland,379.86,64.48,97973491.2,4000653.15,1556826.14,1651613.37,0.84,6381648.0,111564231.86,97615668.98,0.064,40,87047933.95,76164575.01,-0.1083,-0.3173
1263,Gujarat,Agriculture,296.61,183.0,217118520.0,3271658.54,1241560.26,2891610.53,0.66,3915252.0,228438601.33,87604929.31,0.06,20,203309541.95,77968075.21,1.3208,-0.6587
1264,West Bengal,Solar Farm,353.0,63.42,89549040.0,4070091.51,3055118.83,1368426.78,0.33,2329800.0,100372477.12,40849221.95,0.033,20,94061954.64,38280988.7,1.3027,-0.6186
1265,Karnataka,Urban,353.69,128.11,181244903.6,2601770.75,1496823.83,680078.97,0.66,4668708.0,190692285.15,26014815.88,0.098,10,173672390.85,23692910.64,5.6759,-0.8758
1266,Odisha,Solar Farm,15.15,69.85,4232910.0,413090.0,171814.74,25099.23,0.82,248460.0,5091373.97,2624870.52,0.106,10,4603412.27,2373300.65,0.7538,-0.5339
1267,Assam,Urban,302.37,173.64,210014107.2,9021976.67,1518006.89,2000331.81,0.55,3326070.0,225880492.57,18100771.75,0.031,20,212501204.25,17028632.05,10.7399,-0.9246
1268,Assam,Solar Farm,64.02,165.78,42452942.4,1227844.52,588637.29,82375.23,0.55,704220.0,45056019.44,17999588.2,0.066,20,39649563.55,15839744.06,1.2028,-0.6484
1269,West Bengal,Industrial,314.34,197.16,247901097.6,7732176.81,2750676.51,2741537.53,0.49,3080532.0,264206020.45,85554956.28,0.052,20,238732326.3,77306087.52,1.7904,-0.7074
1270,Uttar Pradesh,Solar Farm,143.71,22.75,13077610.0,3576876.64,1066575.1,440047.14,0.37,1063454.0,19224562.88,39570546.39,0.105,30,14248516.17,29328186.75,-0.6399,0.5256
1271,Tamil Nadu,Agriculture,279.0,157.87,176182920.0,4703420.85,1978574.55,2577762.45,0.29,1618200.0,187060877.85,43136663.58,0.061,40,147611921.13,34039644.5,2.422,-0.818
1272,Assam,Urban,251.58,119.83,120587325.6,4521455.71,960770.61,1413445.25,0.38,1912008.0,129395005.17,24172520.19,0.036,30,116369252.88,21739155.32,3.8141,-0.832
1273,Maharashtra,Forest,382.51,112.59,172267203.6,7904986.88,4383072.49,2721118.76,0.55,4207610.0,191483991.73,56219266.58,0.064,20,169141125.6,49659451.65,2.0086,-0.7407
1274,Gujarat,Forest,321.82,128.75,165737300.0,8440793.5,4303095.7,815827.67,0.3,1930920.0,181227936.87,66809906.5,0.057,10,171455001.77,63207101.7,1.5663,-0.6512
1275,Maharashtra,Barren Land,14.19,223.27,12672805.2,151443.05,199804.4,105813.55,0.77,218526.0,13348392.2,1424184.66,0.051,10,12700658.61,1355075.79,7.9178,-0.8985
1276,Gujarat,Industrial,263.03,51.3,53973756.0,3323592.45,1625265.58,640917.15,0.35,1841210.0,61404741.18,65004697.75,0.045,20,56230160.65,59526748.7,-0.135,-0.0306
1277,Maharashtra,Urban,19.09,161.05,12297778.0,561237.94,120377.33,39476.24,0.63,240534.0,13259403.51,5280075.47,0.101,20,10938287.88,4355775.54,1.0716,-0.6715
1278,Tamil Nadu,Urban,313.15,85.61,107235086.0,5807994.41,997753.19,2226655.84,0.74,4634620.0,120902109.44,91207413.18,0.053,30,103549680.86,78116904.41,0.1353,-0.3539
1279,Gujarat,Grassland,14.14,140.95,7972132.0,320550.44,173572.7,38795.22,0.4,113120.0,8618170.36,2519008.92,0.06,30,7235982.02,2115008.46,1.8726,-0.7546
1280,Assam,Solar Farm,430.95,123.7,213234060.0,10769210.42,4114735.12,3429418.77,0.45,3878550.0,235425974.31,111122248.31,0.055,30,200491976.63,94633225.06,0.8042,-0.598
1281,Odisha,Solar Farm,275.32,61.36,67574540.8,4649649.05,1689439.98,936179.1,0.93,5120952.0,79970760.93,24783900.68,0.101,40,54422934.14,16866321.88,1.1959,-0.7891
1282,Tamil Nadu,Urban,492.16,14.78,29096499.2,11061633.3,2602469.96,671498.39,0.5,4921600.0,48353700.85,139677199.36,0.031,20,45489628.36,131403879.69,-0.6743,1.7176
1283,Karnataka,Wetland,296.0,130.34,154322560.0,7943042.82,915238.6,2111585.34,0.71,4203200.0,169495626.76,64311921.25,0.115,40,109662723.55,41609453.74,0.7052,-0.7545
1284,Gujarat,Grassland,412.43,20.07,33109880.4,6919367.5,2958521.13,1563656.17,0.54,4454244.0,49005669.2,60234801.92,0.069,20,42883568.13,52709885.9,-0.2881,0.0756
1285,Maharashtra,Barren Land,489.73,31.27,61255428.4,13739753.1,4036882.23,3238917.61,0.82,8031572.0,90302553.34,68618889.82,0.069,10,84473857.19,64189794.03,0.2311,-0.2892
1286,Tamil Nadu,Solar Farm,207.71,99.94,83034149.6,5844592.38,2653721.36,411473.49,0.28,1163176.0,93107112.83,32603694.23,0.039,50,76896243.08,26927068.41,1.3585,-0.7108
